RUN	dockerregistry.advanced.AdvancedSimulationStep01	advancedsimulationstep01	1583654134935	 	3.3.1
USER	Scenario Name	1	START	1583654137184	1583654137184
REQUEST	1		Home	1583654137202	1583654144151	OK	 
REQUEST	1		Search	1583654145185	1583654145515	OK	 
REQUEST	1		Search Redirect 1	1583654145520	1583654145896	OK	 
REQUEST	1		Select	1583654146891	1583654147231	OK	 
REQUEST	1		Select Redirect 1	1583654147233	1583654147599	OK	 
REQUEST	1		Home	1583654148601	1583654148941	OK	 
REQUEST	1		Page 1	1583654150952	1583654151360	OK	 
REQUEST	1		Page 1 Redirect 1	1583654151361	1583654151770	OK	 
REQUEST	1		Page 2	1583654152444	1583654152892	OK	 
REQUEST	1		Page 2 Redirect 1	1583654152893	1583654153305	OK	 
REQUEST	1		Page 3	1583654153922	1583654154328	OK	 
REQUEST	1		Page 3 Redirect 1	1583654154329	1583654154694	OK	 
REQUEST	1		Page 4	1583654155431	1583654155864	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 404
USER	Scenario Name	1	END	1583654137184	1583654160862
